NAME,topic,group,geography,label,estimate,pct,reliable,estimate_reliable,pct_reliable
"Fairbanks North Star Borough, Alaska",cvap,NHPI Alone,county,CVAP,525,0.505,YES,525,0.505
"Haines Borough, Alaska",cvap,Asian American Alone,county,CVAP,75,0.667,NO,,
"Haines Borough, Alaska",cvap,NHPI Alone,county,CVAP,4,0,NO,,
"Hoonah-Angoon Census Area, Alaska",cvap,Asian American Alone,county,CVAP,60,0.5,NO,,
"Hoonah-Angoon Census Area, Alaska",cvap,NHPI Alone,county,CVAP,4,0,NO,,
"Juneau City and Borough, Alaska",cvap,Asian American Alone,county,CVAP,2135,0.55,YES,2135,0.55
"Juneau City and Borough, Alaska",cvap,NHPI Alone,county,CVAP,320,0.656,YES,320,0.656
"Kenai Peninsula Borough, Alaska",cvap,Asian American Alone,county,CVAP,885,0.463,YES,885,0.463
"Kenai Peninsula Borough, Alaska",cvap,NHPI Alone,county,CVAP,195,0.718,YES,195,0.718
"Ketchikan Gateway Borough, Alaska",cvap,Asian American Alone,county,CVAP,1025,0.507,YES,1025,0.507
"Ketchikan Gateway Borough, Alaska",cvap,NHPI Alone,county,CVAP,4,1,NO,,
"Kodiak Island Borough, Alaska",cvap,Asian American Alone,county,CVAP,3140,0.336,YES,3140,0.336
"Kodiak Island Borough, Alaska",cvap,NHPI Alone,county,CVAP,55,0.909,NO,,
"Kusilvak Census Area, Alaska",cvap,Asian American Alone,county,CVAP,30,0.333,NO,,
"Kusilvak Census Area, Alaska",cvap,NHPI Alone,county,CVAP,4,1,NO,,
"Lake and Peninsula Borough, Alaska",cvap,Asian American Alone,county,CVAP,35,0.114,NO,,
"Lake and Peninsula Borough, Alaska",cvap,NHPI Alone,county,CVAP,4,1,NO,,
"Matanuska-Susitna Borough, Alaska",cvap,Asian American Alone,county,CVAP,1435,0.575,YES,1435,0.575
"Matanuska-Susitna Borough, Alaska",cvap,NHPI Alone,county,CVAP,195,0.615,YES,195,0.615
"Nome Census Area, Alaska",cvap,Asian American Alone,county,CVAP,155,0.129,NO,,
"Nome Census Area, Alaska",cvap,NHPI Alone,county,CVAP,45,0.778,NO,,
"North Slope Borough, Alaska",cvap,Asian American Alone,county,CVAP,540,0.5,YES,540,0.5
"North Slope Borough, Alaska",cvap,NHPI Alone,county,CVAP,170,0.529,YES,170,0.529
"Northwest Arctic Borough, Alaska",cvap,Asian American Alone,county,CVAP,75,0.733,YES,75,0.733
"Northwest Arctic Borough, Alaska",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Petersburg Borough, Alaska",cvap,Asian American Alone,county,CVAP,300,0.567,YES,300,0.567
"Petersburg Borough, Alaska",cvap,NHPI Alone,county,CVAP,15,1,NO,,
"Prince of Wales-Hyder Census Area, Alaska",cvap,Asian American Alone,county,CVAP,75,0.333,NO,,
"Prince of Wales-Hyder Census Area, Alaska",cvap,NHPI Alone,county,CVAP,40,0.375,NO,,
"Sitka City and Borough, Alaska",cvap,Asian American Alone,county,CVAP,620,0.484,YES,620,0.484
"Sitka City and Borough, Alaska",cvap,NHPI Alone,county,CVAP,10,0.4,NO,,
"Skagway Municipality, Alaska",cvap,Asian American Alone,county,CVAP,25,0.8,NO,,
